,precision,recall,f1_score,fpr,fnr
SQLMap Only,0.84,0.6562,0.7368,0.1739,0.3438
ZAP Only,0.9,0.5625,0.6923,0.087,0.4375
Simple Average,0.8,0.375,0.5106,0.1304,0.625
Weighted Fusion,0.8125,0.4062,0.5417,0.1304,0.5938
Fusion + Heuristics (Full),0.871,0.8438,0.8571,0.1739,0.1562
