,precision,recall,f1_score,fpr,fnr,F1_drop
Full Method (Baseline),0.871,0.8438,0.8571,0.1739,0.1562,0.0
Without Rule 1 (Consistency Reward),0.8929,0.7812,0.8333,0.1304,0.2188,2.38
Without Rule 2 (Strong Evidence Boost),0.8519,0.7188,0.7797,0.1739,0.2812,7.74
Without Rule 3 (Medical Risk Bonus),0.8621,0.7812,0.8197,0.1739,0.2188,3.74
